station,biketype,operation,value
51,elec,pick,11.741935483870968
51,mech,drop,53.83870967741935
51,mech,pick,51.774193548387096
53,elec,drop,13.32258064516129
53,elec,pick,13.419354838709678
53,mech,drop,60.25806451612903
53,mech,pick,59.193548387096776
54,elec,drop,9.225806451612904
54,elec,pick,8.870967741935484
54,mech,drop,60.32258064516129
54,mech,pick,60.645161290322584
55,elec,drop,18.419354838709676
55,elec,pick,18.193548387096776
55,mech,drop,77.2258064516129
55,mech,pick,73.41935483870968
56,elec,drop,11.225806451612904
56,elec,pick,11.129032258064516
56,mech,drop,59.0
56,mech,pick,56.32258064516129
57,elec,drop,10.193548387096774
57,elec,pick,10.03225806451613
57,mech,drop,59.96774193548387
57,mech,pick,55.0
58,elec,drop,12.387096774193548
58,elec,pick,11.935483870967742
58,mech,drop,56.225806451612904
58,mech,pick,52.193548387096776
59,elec,drop,2.6129032258064515
59,elec,pick,2.5161290322580645
59,mech,drop,16.548387096774192
59,mech,pick,14.516129032258064
60,elec,drop,11.612903225806452
60,elec,pick,11.67741935483871
60,mech,drop,42.0
60,mech,pick,41.193548387096776
61,elec,drop,15.774193548387096
61,elec,pick,15.516129032258064
61,mech,drop,63.25806451612903
61,mech,pick,61.935483870967744
62,elec,drop,11.32258064516129
62,elec,pick,11.290322580645162
62,mech,drop,51.58064516129032
62,mech,pick,48.61290322580645
63,elec,drop,13.451612903225806
63,elec,pick,13.290322580645162
63,mech,drop,59.03225806451613
63,mech,pick,55.32258064516129
64,elec,drop,10.129032258064516
64,elec,pick,10.161290322580646
64,mech,drop,43.225806451612904
64,mech,pick,41.096774193548384
65,elec,drop,22.129032258064516
65,elec,pick,22.580645161290324
65,mech,drop,72.6774193548387
65,mech,pick,71.35483870967742
66,elec,drop,14.709677419354838
66,elec,pick,14.709677419354838
66,mech,drop,48.12903225806452
66,mech,pick,47.61290322580645
67,elec,drop,18.35483870967742
67,elec,pick,18.129032258064516
67,mech,drop,43.774193548387096
67,mech,pick,45.903225806451616
68,elec,drop,30.741935483870968
68,elec,pick,31.258064516129032
68,mech,drop,45.25806451612903
68,mech,pick,51.38709677419355
69,elec,drop,3.4516129032258065
69,elec,pick,3.4838709677419355
69,mech,drop,18.387096774193548
69,mech,pick,17.64516129032258
70,elec,drop,17.806451612903224
70,elec,pick,17.096774193548388
70,mech,drop,70.83870967741936
70,mech,pick,71.0
71,elec,drop,15.870967741935484
71,elec,pick,15.096774193548388
71,mech,drop,63.645161290322584
71,mech,pick,64.16129032258064
72,elec,drop,18.161290322580644
72,elec,pick,17.516129032258064
72,mech,drop,47.774193548387096
72,mech,pick,52.38709677419355
73,elec,drop,26.677419354838708
73,elec,pick,25.677419354838708
73,mech,drop,62.38709677419355
73,mech,pick,62.87096774193548
74,elec,drop,23.677419354838708
74,elec,pick,23.903225806451612
74,mech,drop,34.516129032258064
74,mech,pick,37.45161290322581
75,elec,drop,16.580645161290324
75,elec,pick,17.870967741935484
75,mech,drop,31.193548387096776
75,mech,pick,32.193548387096776
76,elec,drop,20.322580645161292
76,elec,pick,19.64516129032258
76,mech,drop,45.29032258064516
76,mech,pick,47.064516129032256
78,elec,drop,14.903225806451612
78,elec,pick,15.258064516129032
78,mech,drop,60.29032258064516
78,mech,pick,59.58064516129032
79,elec,drop,22.483870967741936
79,elec,pick,22.483870967741936
79,mech,drop,82.51612903225806
79,mech,pick,80.90322580645162
80,elec,drop,28.483870967741936
80,elec,pick,27.64516129032258
80,mech,drop,70.29032258064517
80,mech,pick,70.96774193548387
81,elec,drop,15.35483870967742
81,elec,pick,15.67741935483871
81,mech,drop,51.74193548387097
81,mech,pick,55.806451612903224
82,elec,drop,17.838709677419356
82,elec,pick,18.0
82,mech,drop,69.80645161290323
82,mech,pick,71.29032258064517
83,elec,drop,15.258064516129032
83,elec,pick,15.064516129032258
83,mech,drop,41.774193548387096
83,mech,pick,43.806451612903224
84,elec,drop,23.93548387096774
84,elec,pick,23.258064516129032
84,mech,drop,75.06451612903226
84,mech,pick,76.38709677419355
85,elec,drop,12.419354838709678
85,elec,pick,12.516129032258064
85,mech,drop,64.58064516129032
85,mech,pick,61.806451612903224
86,elec,drop,9.483870967741936
86,elec,pick,9.096774193548388
86,mech,drop,57.516129032258064
86,mech,pick,57.935483870967744
87,elec,drop,15.096774193548388
87,elec,pick,15.419354838709678
87,mech,drop,43.67741935483871
87,mech,pick,44.96774193548387
88,elec,drop,27.161290322580644
88,elec,pick,25.451612903225808
88,mech,drop,35.903225806451616
88,mech,pick,41.87096774193548
89,elec,drop,19.612903225806452
89,elec,pick,19.548387096774192
89,mech,drop,49.774193548387096
89,mech,pick,52.54838709677419
90,elec,drop,21.35483870967742
90,elec,pick,20.93548387096774
90,mech,drop,54.03225806451613
90,mech,pick,56.61290322580645
92,elec,drop,12.258064516129032
92,elec,pick,12.161290322580646
92,mech,drop,31.387096774193548
92,mech,pick,31.806451612903224
93,elec,drop,18.419354838709676
93,elec,pick,18.322580645161292
93,mech,drop,52.67741935483871
93,mech,pick,58.38709677419355
94,elec,drop,11.290322580645162
94,elec,pick,11.0
94,mech,drop,44.83870967741935
94,mech,pick,46.54838709677419
95,elec,drop,12.806451612903226
95,elec,pick,12.516129032258064
95,mech,drop,47.70967741935484
95,mech,pick,49.61290322580645
96,elec,drop,13.903225806451612
96,elec,pick,13.193548387096774
96,mech,drop,39.25806451612903
96,mech,pick,41.225806451612904
97,elec,drop,9.451612903225806
97,elec,pick,9.838709677419354
97,mech,drop,37.354838709677416
97,mech,pick,39.645161290322584
98,elec,drop,17.516129032258064
98,elec,pick,18.70967741935484
98,mech,drop,51.806451612903224
98,mech,pick,56.064516129032256
99,elec,drop,18.516129032258064
99,elec,pick,19.225806451612904
99,mech,drop,54.096774193548384
99,mech,pick,56.74193548387097
100,elec,drop,16.0
100,elec,pick,16.225806451612904
100,mech,drop,54.74193548387097
100,mech,pick,55.96774193548387
101,elec,drop,22.516129032258064
101,elec,pick,21.903225806451612
101,mech,drop,50.483870967741936
101,mech,pick,51.935483870967744
102,elec,drop,10.806451612903226
102,elec,pick,11.03225806451613
102,mech,drop,18.967741935483872
102,mech,pick,21.258064516129032
104,elec,drop,28.741935483870968
104,elec,pick,28.903225806451612
104,mech,drop,78.61290322580645
104,mech,pick,79.96774193548387
105,elec,drop,14.838709677419354
105,elec,pick,14.516129032258064
105,mech,drop,61.29032258064516
105,mech,pick,59.70967741935484
106,elec,drop,23.35483870967742
106,elec,pick,22.774193548387096
106,mech,drop,35.935483870967744
106,mech,pick,40.12903225806452
107,elec,drop,31.774193548387096
107,elec,pick,31.032258064516128
107,mech,drop,36.935483870967744
107,mech,pick,43.16129032258065
108,elec,drop,28.612903225806452
108,elec,pick,28.225806451612904
108,mech,drop,50.903225806451616
108,mech,pick,52.03225806451613
109,elec,drop,18.806451612903224
109,elec,pick,18.419354838709676
109,mech,drop,33.193548387096776
109,mech,pick,34.25806451612903
110,elec,drop,12.03225806451613
110,elec,pick,11.258064516129032
110,mech,drop,43.83870967741935
110,mech,pick,42.61290322580645
111,elec,drop,17.806451612903224
111,elec,pick,17.64516129032258
111,mech,drop,64.03225806451613
111,mech,pick,66.74193548387096
112,elec,drop,14.32258064516129
112,elec,pick,13.870967741935484
112,mech,drop,61.74193548387097
112,mech,pick,61.774193548387096
113,elec,drop,11.258064516129032
113,elec,pick,11.129032258064516
113,mech,drop,55.806451612903224
113,mech,pick,54.193548387096776
114,elec,drop,8.096774193548388
114,elec,pick,7.774193548387097
114,mech,drop,55.83870967741935
114,mech,pick,52.516129032258064
115,elec,drop,12.935483870967742
115,elec,pick,12.96774193548387
115,mech,drop,63.806451612903224
115,mech,pick,57.806451612903224
116,elec,drop,7.419354838709677
116,elec,pick,7.419354838709677
116,mech,drop,48.645161290322584
116,mech,pick,49.67741935483871
117,elec,drop,11.193548387096774
117,elec,pick,11.129032258064516
117,mech,drop,54.25806451612903
117,mech,pick,50.67741935483871
118,elec,drop,20.032258064516128
118,elec,pick,20.387096774193548
118,mech,drop,101.90322580645162
118,mech,pick,99.25806451612904
119,elec,drop,16.451612903225808
119,elec,pick,16.774193548387096
119,mech,drop,73.0
119,mech,pick,73.19354838709677
120,elec,drop,1.3870967741935485
120,elec,pick,1.4838709677419355
120,mech,drop,4.483870967741935
120,mech,pick,5.483870967741935
121,elec,drop,20.580645161290324
121,elec,pick,21.225806451612904
121,mech,drop,49.354838709677416
121,mech,pick,51.54838709677419
122,elec,drop,21.322580645161292
122,elec,pick,22.225806451612904
122,mech,drop,28.870967741935484
122,mech,pick,32.096774193548384
123,elec,drop,24.870967741935484
123,elec,pick,24.612903225806452
123,mech,drop,54.58064516129032
123,mech,pick,59.354838709677416
124,elec,drop,10.516129032258064
124,elec,pick,10.612903225806452
124,mech,drop,50.12903225806452
124,mech,pick,49.12903225806452
125,elec,drop,7.483870967741935
125,elec,pick,7.419354838709677
125,mech,drop,41.806451612903224
125,mech,pick,41.83870967741935
126,elec,drop,7.387096774193548
126,elec,pick,7.129032258064516
126,mech,drop,49.67741935483871
126,mech,pick,44.54838709677419
127,elec,drop,20.096774193548388
127,elec,pick,20.93548387096774
127,mech,drop,68.3225806451613
127,mech,pick,67.93548387096774
128,elec,drop,15.096774193548388
128,elec,pick,15.483870967741936
128,mech,drop,61.61290322580645
128,mech,pick,60.096774193548384
129,elec,drop,9.903225806451612
129,elec,pick,9.709677419354838
129,mech,drop,56.12903225806452
129,mech,pick,49.87096774193548
130,elec,drop,10.387096774193548
130,elec,pick,11.0
130,mech,drop,52.61290322580645
130,mech,pick,50.0
131,elec,drop,10.516129032258064
131,elec,pick,10.64516129032258
131,mech,drop,33.806451612903224
131,mech,pick,31.612903225806452
132,elec,drop,11.193548387096774
132,elec,pick,10.709677419354838
132,mech,drop,45.25806451612903
132,mech,pick,41.70967741935484
133,elec,drop,11.225806451612904
133,elec,pick,10.838709677419354
133,mech,drop,49.67741935483871
133,mech,pick,47.774193548387096
134,elec,drop,7.903225806451613
134,elec,pick,8.0
134,mech,drop,40.516129032258064
134,mech,pick,37.774193548387096
135,elec,drop,8.774193548387096
135,elec,pick,9.225806451612904
135,mech,drop,39.03225806451613
135,mech,pick,37.96774193548387
136,elec,drop,6.258064516129032
136,elec,pick,6.709677419354839
136,mech,drop,36.25806451612903
136,mech,pick,35.03225806451613
137,elec,drop,6.967741935483871
137,elec,pick,7.806451612903226
137,mech,drop,31.032258064516128
137,mech,pick,32.03225806451613
138,elec,drop,8.709677419354838
138,elec,pick,9.0
138,mech,drop,41.61290322580645
138,mech,pick,40.87096774193548
139,elec,drop,5.580645161290323
139,elec,pick,6.290322580645161
139,mech,drop,27.741935483870968
139,mech,pick,26.419354838709676
140,elec,drop,15.806451612903226
140,elec,pick,15.548387096774194
140,mech,drop,66.45161290322581
140,mech,pick,64.16129032258064
141,elec,drop,9.258064516129032
141,elec,pick,9.774193548387096
141,mech,drop,47.74193548387097
141,mech,pick,48.096774193548384
142,elec,drop,10.612903225806452
142,elec,pick,10.67741935483871
142,mech,drop,50.935483870967744
142,mech,pick,50.41935483870968
143,elec,drop,13.193548387096774
143,elec,pick,13.258064516129032
143,mech,drop,57.41935483870968
143,mech,pick,57.38709677419355
144,elec,drop,19.806451612903224
144,elec,pick,19.580645161290324
144,mech,drop,80.64516129032258
144,mech,pick,81.16129032258064
145,elec,drop,8.935483870967742
145,elec,pick,10.096774193548388
145,mech,drop,41.29032258064516
145,mech,pick,41.25806451612903
146,elec,drop,0.8709677419354839
146,elec,pick,1.032258064516129
146,mech,drop,6.32258064516129
146,mech,pick,6.387096774193548
147,elec,drop,12.0
147,elec,pick,13.193548387096774
147,mech,drop,47.54838709677419
147,mech,pick,45.25806451612903
148,elec,drop,16.806451612903224
148,elec,pick,16.322580645161292
148,mech,drop,83.41935483870968
148,mech,pick,84.25806451612904
149,elec,drop,14.32258064516129
149,elec,pick,14.161290322580646
149,mech,drop,57.58064516129032
149,mech,pick,54.96774193548387
150,elec,drop,11.903225806451612
150,elec,pick,12.612903225806452
150,mech,drop,56.29032258064516
150,mech,pick,56.96774193548387
151,elec,drop,8.838709677419354
151,elec,pick,8.741935483870968
151,mech,drop,41.935483870967744
151,mech,pick,42.096774193548384
152,elec,drop,11.548387096774194
152,elec,pick,11.67741935483871
152,mech,drop,59.87096774193548
152,mech,pick,61.12903225806452
153,elec,drop,17.451612903225808
153,elec,pick,17.0
153,mech,drop,82.7741935483871
153,mech,pick,80.0
154,elec,drop,14.483870967741936
154,elec,pick,14.35483870967742
154,mech,drop,71.25806451612904
154,mech,pick,68.12903225806451
155,elec,drop,10.387096774193548
155,elec,pick,10.483870967741936
155,mech,drop,54.806451612903224
155,mech,pick,55.03225806451613
156,elec,drop,15.838709677419354
156,elec,pick,16.548387096774192
156,mech,drop,63.67741935483871
156,mech,pick,61.58064516129032
157,elec,drop,5.774193548387097
157,elec,pick,5.806451612903226
157,mech,drop,27.870967741935484
157,mech,pick,24.967741935483872
158,elec,drop,3.6451612903225805
158,elec,pick,3.935483870967742
158,mech,drop,19.322580645161292
158,mech,pick,18.838709677419356
159,elec,drop,15.516129032258064
159,elec,pick,16.096774193548388
159,mech,drop,59.61290322580645
159,mech,pick,60.193548387096776
160,elec,drop,11.838709677419354
160,elec,pick,11.870967741935484
160,mech,drop,41.29032258064516
160,mech,pick,39.774193548387096
161,elec,drop,11.0
161,elec,pick,10.96774193548387
161,mech,drop,61.0
161,mech,pick,62.0
162,elec,drop,9.806451612903226
162,elec,pick,9.774193548387096
162,mech,drop,54.064516129032256
162,mech,pick,53.16129032258065
163,elec,drop,12.419354838709678
163,elec,pick,12.0
163,mech,drop,59.41935483870968
163,mech,pick,58.96774193548387
164,elec,drop,14.870967741935484
164,elec,pick,16.451612903225808
164,mech,drop,34.806451612903224
164,mech,pick,36.32258064516129
165,elec,drop,22.806451612903224
165,elec,pick,22.870967741935484
165,mech,drop,91.03225806451613
165,mech,pick,84.90322580645162
166,elec,drop,8.387096774193548
166,elec,pick,8.32258064516129
166,mech,drop,46.70967741935484
166,mech,pick,44.193548387096776
167,elec,drop,7.806451612903226
167,elec,pick,7.806451612903226
167,mech,drop,49.12903225806452
167,mech,pick,48.70967741935484
168,elec,drop,9.451612903225806
168,elec,pick,9.419354838709678
168,mech,drop,45.935483870967744
168,mech,pick,45.83870967741935
170,elec,drop,6.516129032258065
170,elec,pick,6.451612903225806
170,mech,drop,40.903225806451616
170,mech,pick,35.516129032258064
171,elec,drop,6.451612903225806
171,elec,pick,6.258064516129032
171,mech,drop,33.67741935483871
171,mech,pick,29.032258064516128
173,elec,drop,5.645161290322581
173,elec,pick,5.612903225806452
173,mech,drop,27.419354838709676
173,mech,pick,26.70967741935484
174,elec,drop,4.548387096774194
174,elec,pick,4.225806451612903
174,mech,drop,21.612903225806452
174,mech,pick,20.806451612903224
175,elec,drop,8.516129032258064
175,elec,pick,8.548387096774194
175,mech,drop,42.516129032258064
175,mech,pick,44.225806451612904
176,elec,drop,4.483870967741935
176,elec,pick,4.516129032258065
176,mech,drop,17.612903225806452
176,mech,pick,17.580645161290324
177,elec,drop,23.06451612903226
177,elec,pick,24.29032258064516
177,mech,drop,47.225806451612904
177,mech,pick,48.096774193548384
178,elec,drop,6.258064516129032
178,elec,pick,6.290322580645161
178,mech,drop,23.387096774193548
178,mech,pick,23.741935483870968
179,elec,drop,7.064516129032258
179,elec,pick,7.161290322580645
179,mech,drop,32.41935483870968
179,mech,pick,29.258064516129032
180,elec,drop,14.193548387096774
180,elec,pick,15.483870967741936
180,mech,drop,71.25806451612904
180,mech,pick,59.516129032258064
182,elec,drop,12.32258064516129
182,elec,pick,12.0
182,mech,drop,51.193548387096776
182,mech,pick,49.74193548387097
183,elec,drop,8.935483870967742
183,elec,pick,9.129032258064516
183,mech,drop,39.70967741935484
183,mech,pick,35.54838709677419
184,elec,drop,10.870967741935484
184,elec,pick,11.516129032258064
184,mech,drop,49.54838709677419
184,mech,pick,41.83870967741935
185,elec,drop,10.612903225806452
185,elec,pick,10.935483870967742
185,mech,drop,38.25806451612903
185,mech,pick,37.58064516129032
186,elec,drop,13.32258064516129
186,elec,pick,14.0
186,mech,drop,42.74193548387097
186,mech,pick,43.67741935483871
187,elec,drop,4.548387096774194
187,elec,pick,4.419354838709677
187,mech,drop,32.774193548387096
187,mech,pick,32.225806451612904
188,elec,drop,26.0
188,elec,pick,25.806451612903224
188,mech,drop,67.58064516129032
188,mech,pick,68.70967741935483
189,elec,drop,8.483870967741936
189,elec,pick,8.548387096774194
189,mech,drop,41.096774193548384
189,mech,pick,45.354838709677416
190,elec,drop,7.967741935483871
190,elec,pick,7.870967741935484
190,mech,drop,40.03225806451613
190,mech,pick,38.064516129032256
191,elec,drop,8.387096774193548
191,elec,pick,9.096774193548388
191,mech,drop,32.225806451612904
191,mech,pick,34.74193548387097
192,elec,drop,13.96774193548387
192,elec,pick,14.258064516129032
192,mech,drop,35.61290322580645
192,mech,pick,36.354838709677416
193,elec,drop,10.483870967741936
193,elec,pick,10.774193548387096
193,mech,drop,22.225806451612904
193,mech,pick,24.06451612903226
194,elec,drop,13.806451612903226
194,elec,pick,14.32258064516129
194,mech,drop,24.258064516129032
194,mech,pick,27.0
195,elec,drop,14.96774193548387
195,elec,pick,15.870967741935484
195,mech,drop,32.96774193548387
195,mech,pick,35.0
196,elec,drop,17.70967741935484
196,elec,pick,18.806451612903224
196,mech,drop,37.87096774193548
196,mech,pick,40.61290322580645
197,elec,drop,17.06451612903226
197,elec,pick,16.903225806451612
197,mech,drop,29.612903225806452
197,mech,pick,34.645161290322584
198,elec,drop,12.225806451612904
198,elec,pick,13.0
198,mech,drop,24.806451612903224
198,mech,pick,26.548387096774192
199,elec,drop,13.64516129032258
199,elec,pick,14.0
199,mech,drop,20.225806451612904
199,mech,pick,21.419354838709676
200,elec,drop,14.129032258064516
200,elec,pick,14.483870967741936
200,mech,drop,25.258064516129032
200,mech,pick,30.774193548387096
201,elec,drop,28.677419354838708
201,elec,pick,30.838709677419356
201,mech,drop,50.064516129032256
201,mech,pick,50.87096774193548
202,elec,drop,13.35483870967742
202,elec,pick,14.064516129032258
202,mech,drop,19.64516129032258
202,mech,pick,22.903225806451612
203,elec,drop,26.387096774193548
203,elec,pick,26.419354838709676
203,mech,drop,28.096774193548388
203,mech,pick,34.67741935483871
204,elec,drop,17.741935483870968
204,elec,pick,17.516129032258064
204,mech,drop,23.29032258064516
204,mech,pick,27.903225806451612
205,elec,drop,19.612903225806452
205,elec,pick,19.93548387096774
205,mech,drop,24.806451612903224
205,mech,pick,28.29032258064516
206,elec,drop,23.161290322580644
206,elec,pick,23.612903225806452
206,mech,drop,34.25806451612903
206,mech,pick,37.935483870967744
207,elec,drop,26.387096774193548
207,elec,pick,26.451612903225808
207,mech,drop,36.483870967741936
207,mech,pick,37.03225806451613
208,elec,drop,12.741935483870968
208,elec,pick,12.612903225806452
208,mech,drop,27.70967741935484
208,mech,pick,33.483870967741936
209,elec,drop,14.064516129032258
209,elec,pick,13.35483870967742
209,mech,drop,51.29032258064516
209,mech,pick,50.03225806451613
210,elec,drop,7.419354838709677
210,elec,pick,7.290322580645161
210,mech,drop,32.0
210,mech,pick,33.58064516129032
211,elec,drop,11.419354838709678
211,elec,pick,11.129032258064516
211,mech,drop,53.25806451612903
211,mech,pick,51.16129032258065
212,elec,drop,12.838709677419354
212,elec,pick,13.64516129032258
212,mech,drop,9.903225806451612
212,mech,pick,13.387096774193548
213,elec,drop,11.67741935483871
213,elec,pick,11.387096774193548
213,mech,drop,16.225806451612904
213,mech,pick,19.483870967741936
214,elec,drop,3.774193548387097
214,elec,pick,3.7096774193548385
214,mech,drop,8.0
214,mech,pick,8.193548387096774
215,elec,drop,15.741935483870968
215,elec,pick,15.161290322580646
215,mech,drop,15.709677419354838
215,mech,pick,19.193548387096776
216,elec,drop,11.387096774193548
216,elec,pick,12.32258064516129
216,mech,drop,13.387096774193548
216,mech,pick,14.64516129032258
217,elec,drop,11.225806451612904
217,elec,pick,11.935483870967742
217,mech,drop,14.258064516129032
217,mech,pick,16.93548387096774
218,elec,drop,14.451612903225806
218,elec,pick,14.580645161290322
218,mech,drop,57.25806451612903
218,mech,pick,58.67741935483871
219,elec,drop,15.193548387096774
219,elec,pick,15.161290322580646
219,mech,drop,10.064516129032258
219,mech,pick,10.193548387096774
220,elec,drop,38.32258064516129
220,elec,pick,38.29032258064516
220,mech,drop,77.0
220,mech,pick,78.61290322580645
221,elec,drop,31.870967741935484
221,elec,pick,30.29032258064516
221,mech,drop,35.29032258064516
221,mech,pick,41.645161290322584
222,elec,drop,40.41935483870968
222,elec,pick,38.70967741935484
222,mech,drop,35.225806451612904
222,mech,pick,33.483870967741936
223,elec,drop,39.806451612903224
223,elec,pick,38.25806451612903
223,mech,drop,93.19354838709677
223,mech,pick,97.2258064516129
224,elec,drop,22.93548387096774
224,elec,pick,22.096774193548388
224,mech,drop,47.16129032258065
224,mech,pick,50.096774193548384
225,elec,drop,14.0
225,elec,pick,13.870967741935484
225,mech,drop,38.70967741935484
225,mech,pick,40.03225806451613
226,elec,drop,28.451612903225808
226,elec,pick,26.774193548387096
226,mech,drop,53.83870967741935
226,mech,pick,59.064516129032256
227,elec,drop,24.483870967741936
227,elec,pick,26.258064516129032
227,mech,drop,20.129032258064516
227,mech,pick,21.516129032258064
228,elec,drop,18.032258064516128
228,elec,pick,18.161290322580644
228,mech,drop,17.387096774193548
228,mech,pick,20.258064516129032
229,elec,drop,32.32258064516129
229,elec,pick,30.580645161290324
229,mech,drop,46.0
229,mech,pick,52.25806451612903
230,elec,drop,37.29032258064516
230,elec,pick,38.29032258064516
230,mech,drop,17.903225806451612
230,mech,pick,21.322580645161292
231,elec,drop,24.161290322580644
231,elec,pick,25.387096774193548
231,mech,drop,22.06451612903226
231,mech,pick,23.548387096774192
232,elec,drop,10.548387096774194
232,elec,pick,9.903225806451612
232,mech,drop,56.903225806451616
232,mech,pick,55.645161290322584
233,elec,drop,10.580645161290322
233,elec,pick,10.258064516129032
